Renderer,Driver,MSAA,width,height,FPS,seconds,core_temp,core_temp_fahrenheit,core_vddc,core_load,gpu_power,core_clock,mem_clock,sys_mem_load,proc_mem_load,gpu_mem_load
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,0,0.0,36.0,96.8,0.000,20.0,10.6,420.0,405.0,20,90619904,-1
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,0,0.0,41.0,105.8,0.000,11.0,0.0,1227.0,3003.0,20,90624000,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,261,2.0,47.0,116.6,0.000,98.0,92.1,1455.0,7000.0,20,108892160,1116
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,261,2.0,41.0,105.8,0.000,0.0,0.0,1227.0,3003.0,20,108892160,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,259,4.1,48.0,118.4,0.000,98.0,88.7,1455.0,7000.0,20,108380160,1114
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,259,4.1,41.0,105.8,0.000,0.0,0.0,1227.0,3003.0,20,108380160,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,259,6.1,49.0,120.2,0.000,98.0,90.3,1455.0,7000.0,20,107331584,1114
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,259,6.1,41.0,105.8,0.000,0.0,0.0,1227.0,3003.0,20,107331584,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,257,8.1,50.0,122.0,0.000,98.0,90.5,1455.0,7000.0,20,106799104,1114
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,257,8.1,41.0,105.8,0.000,0.0,0.0,1227.0,3003.0,20,106799104,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,258,10.2,51.0,123.8,0.000,98.0,90.7,1455.0,7000.0,20,106799104,1114
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,258,10.2,42.0,107.6,0.000,0.0,0.0,1227.0,3003.0,20,106799104,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,259,12.2,52.0,125.6,0.000,98.0,91.4,1455.0,7000.0,20,106799104,1110
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,259,12.2,41.0,105.8,0.000,1.0,0.0,1227.0,3003.0,20,106799104,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,257,14.2,53.0,127.4,0.000,98.0,91.5,1440.0,7000.0,20,106799104,1110
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,257,14.2,41.0,105.8,0.000,1.0,0.0,1227.0,3003.0,20,106799104,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,257,15.8,47.0,116.6,0.000,98.0,25.3,1875.0,7000.0,20,83664896,1114
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,257,15.8,42.0,107.6,0.000,1.0,0.0,1227.0,3003.0,20,83664896,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,257,15.8,44.0,111.2,0.000,1.0,13.7,420.0,5000.0,20,83685376,1114
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,257,15.8,42.0,107.6,0.000,1.0,0.0,1227.0,3003.0,20,83685376,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,257,15.8,43.0,109.4,0.000,1.0,13.6,315.0,5000.0,20,83685376,1114
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,257,15.8,42.0,107.6,0.000,1.0,0.0,1227.0,3003.0,20,83685376,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,257,15.8,43.0,109.4,0.000,3.0,10.3,300.0,810.0,20,82657280,1114
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,257,15.8,42.0,107.6,0.000,0.0,0.0,1227.0,3003.0,20,82657280,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,257,15.8,42.0,107.6,0.000,5.0,10.1,300.0,405.0,20,82657280,1114
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,257,15.8,42.0,107.6,0.000,0.0,0.0,1227.0,3003.0,20,82657280,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,257,15.8,42.0,107.6,0.000,4.0,10.0,300.0,405.0,20,82657280,1114
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,257,15.8,42.0,107.6,0.000,0.0,0.0,1227.0,3003.0,20,82657280,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,257,15.8,42.0,107.6,0.000,6.0,10.1,300.0,405.0,20,82657280,1114
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,257,15.8,42.0,107.6,0.000,0.0,0.0,1227.0,3003.0,20,82657280,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,257,15.8,42.0,107.6,0.000,7.0,10.1,300.0,405.0,20,82952192,1114
